,scennumb,nsites_train,intra,select,regression,idtrain,idtest,hm,y_ref,y_pred,TP,TN,weights
0,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
1,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
2,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
3,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
4,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
5,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
6,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
7,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
8,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
9,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
10,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
11,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
12,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
13,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
14,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
15,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
16,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
17,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
18,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
19,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
20,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
21,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
22,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
23,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
24,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
25,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
26,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
27,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
28,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
29,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
30,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
31,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
32,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
33,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
34,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
35,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
36,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
37,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
38,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
39,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
40,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
41,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
42,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
43,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
44,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
45,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
46,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
47,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
48,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
49,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
50,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
51,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
52,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
53,1,1,1,1,0,1,1,1,0,0,0,1,0.703488372093
54,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
55,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
56,1,1,1,1,0,1,1,0,0,1,0,0,0.703488372093
